iter	Passed	Remaining
0	152	152421
1	153	76605
2	154	51290
3	156	38848
4	157	31390
5	159	26375
6	160	22796
7	162	20142
8	164	18068
9	165	16382
10	168	15119
11	170	14044
12	172	13095
13	173	12240
14	175	11527
15	176	10827
16	176	10227
17	177	9683
18	178	9211
19	180	8852
20	182	8516
21	184	8211
22	186	7916
23	187	7618
24	188	7345
25	189	7092
26	190	6856
27	191	6631
28	191	6423
29	192	6229
30	193	6048
31	194	5883
32	195	5729
33	196	5592
34	197	5455
35	199	5332
36	200	5205
37	200	5083
38	201	4965
39	202	4852
40	203	4749
41	203	4645
42	204	4547
43	205	4454
44	205	4365
45	206	4276
46	206	4192
47	207	4115
48	208	4038
49	208	3965
50	209	3897
51	210	3833
52	211	3773
53	212	3715
54	212	3658
55	213	3603
56	214	3548
57	215	3496
58	215	3443
59	216	3393
60	217	3344
61	217	3295
62	218	3248
63	218	3202
64	219	3157
65	220	3115
66	220	3073
67	221	3033
68	221	2994
69	222	2955
70	222	2917
71	223	2880
72	224	2845
73	224	2810
74	225	2777
75	225	2745
76	226	2715
77	227	2687
78	228	2658
79	228	2629
80	229	2602
81	230	2575
82	230	2545
83	231	2519
84	231	2494
85	232	2470
86	233	2447
87	233	2424
88	234	2400
89	235	2377
90	235	2355
91	236	2332
92	236	2309
93	237	2287
94	237	2266
95	238	2246
96	239	2226
97	239	2208
98	240	2190
99	241	2173
100	242	2155
101	242	2138
102	243	2120
103	244	2102
104	244	2085
105	245	2068
106	245	2051
107	246	2035
108	247	2019
109	247	2004
110	248	1990
111	249	1975
112	249	1961
113	250	1946
114	251	1933
115	251	1918
116	252	1903
117	252	1890
118	253	1876
119	254	1863
120	254	1851
121	255	1839
122	256	1829
123	257	1819
124	258	1807
125	258	1794
126	259	1782
127	259	1770
128	260	1758
129	261	1747
130	261	1735
131	262	1725
132	262	1714
133	263	1703
134	264	1692
135	264	1683
136	265	1672
137	266	1662
138	266	1651
139	267	1641
140	267	1632
141	268	1621
142	268	1611
143	269	1602
144	270	1593
145	271	1586
146	271	1578
147	272	1569
148	273	1561
149	274	1553
150	274	1546
151	275	1537
152	276	1529
153	276	1521
154	277	1512
155	278	1504
156	278	1496
157	279	1488
158	279	1480
159	280	1472
160	280	1463
161	281	1455
162	281	1447
163	282	1440
164	283	1433
165	283	1426
166	284	1419
167	285	1413
168	286	1407
169	287	1403
170	288	1396
171	288	1391
172	289	1385
173	290	1380
174	291	1374
175	292	1368
176	293	1362
177	293	1356
178	294	1349
179	294	1342
180	295	1336
181	296	1330
182	296	1324
183	297	1317
184	297	1311
185	298	1305
186	298	1299
187	299	1293
188	300	1288
189	301	1284
190	302	1279
191	303	1275
192	303	1270
193	304	1264
194	304	1259
195	305	1253
196	306	1248
197	306	1243
198	307	1237
199	308	1232
200	308	1227
201	309	1222
202	310	1217
203	310	1212
204	311	1208
205	312	1203
206	312	1198
207	313	1193
208	314	1188
209	314	1183
210	315	1178
211	316	1175
212	317	1171
213	317	1167
214	318	1163
215	319	1159
216	319	1154
217	320	1149
218	320	1144
219	321	1139
220	322	1135
221	322	1130
222	323	1126
223	323	1121
224	324	1117
225	325	1113
226	325	1109
227	326	1105
228	327	1101
229	327	1096
230	328	1092
231	328	1088
232	329	1084
233	330	1080
234	330	1076
235	331	1073
236	332	1070
237	333	1067
238	333	1063
239	334	1058
240	334	1054
241	335	1051
242	336	1046
243	336	1042
244	337	1038
245	337	1034
246	338	1031
247	338	1027
248	339	1023
249	339	1019
250	340	1015
251	340	1011
252	341	1007
253	341	1004
254	342	1000
255	342	996
256	343	992
257	343	989
258	344	985
259	345	982
260	345	978
261	346	975
262	347	972
263	348	970
264	348	967
265	349	965
266	350	962
267	351	959
268	352	956
269	352	954
270	353	950
271	354	947
272	354	944
273	355	941
274	355	937
275	356	934
276	356	931
277	357	928
278	357	925
279	358	921
280	359	918
281	359	915
282	360	912
283	360	909
284	361	907
285	362	905
286	363	903
287	364	901
288	365	898
289	366	896
290	366	893
291	367	890
292	367	887
293	368	884
294	369	881
295	369	879
296	370	876
297	370	873
298	371	870
299	372	868
300	372	865
301	373	862
302	373	859
303	374	857
304	374	854
305	376	853
306	377	851
307	377	849
308	378	847
309	379	845
310	380	842
311	381	840
312	381	837
313	382	835
314	382	832
315	383	830
316	384	827
317	384	825
318	385	822
319	386	820
320	386	818
321	387	816
322	388	813
323	388	811
324	389	809
325	390	807
326	391	805
327	391	802
328	392	801
329	393	799
330	394	797
331	395	794
332	395	792
333	396	789
334	396	787
335	397	784
336	397	782
337	398	780
338	399	778
339	399	775
340	400	773
341	400	771
342	401	768
343	401	766
344	402	764
345	403	762
